Ident ,DIM
070008 ,65
080001 ,306
080001 ,277
080001 ,266
080001 ,228
080001 ,198
080001 ,258
080001 ,248
080001 ,114
080003 ,298
080003 ,251
080003 ,259
080003 ,152
080005 ,261
080005 ,237
080006 ,96
080009 ,336
080009 ,217
080009 ,204
080010 ,315
080013 ,277
080013 ,242
080013 ,224
080013 ,126
080013 ,140
080020 ,287
080020 ,292
080020 ,282
080020 ,186
080021 ,239
080021 ,301
080021 ,216
080021 ,219
080021 ,239
080021 ,237
080021 ,186
080025 ,285
080025 ,307
080025SD   ,267
080025SD   ,244
080025SD   ,236
080031 ,274
080031 ,228
080034 ,286
080034 ,241
080034 ,65
080040 ,257
080040 ,263
080040 ,175
080040 ,117
080042 ,272
080042 ,269
080042 ,448
080042 ,266
080042 ,241
080042 ,135
080048 ,284
080048 ,262
080048 ,270
080048 ,235
080054 ,250
080054 ,265
080054 ,277
080054 ,325
080054 ,412
080054 ,194
080057 ,284
080057 ,380
080057 ,195
080057 ,266
080057 ,258
080057 ,251
080066 ,118
080069 ,283
080069 ,219
080069 ,238
080069 ,137
080069 ,240
080069 ,215
080069 ,196
080069 ,114
080071 ,355
080073 ,148
080080CA   ,276
080080CA   ,266
080080CA   ,302
080080CA   ,248
080080CA   ,277
080080CA   ,138
080085 ,331
080085 ,77
080085 ,230
080087 ,91
080094 ,310
080094 ,149
080094 ,180
080097 ,115
080099SD   ,275
080099SD   ,226
080099SD   ,352
080099SD   ,272
080113 ,319
080113 ,175
080116 ,271
080116 ,189
080125 ,256
080125 ,310
080125 ,251
080125 ,167
080125 ,83
080131 ,318
080131 ,133
080131 ,204
080131 ,144
080131 ,319
080131 ,251
080131 ,278
080134 ,270
080134 ,267
080134 ,357
080140 ,171
080140 ,258
080151 ,277
080151 ,262
080151 ,266
080151 ,209
080151 ,143
080153 ,288
080153 ,313
080153 ,339
080153 ,321
080153 ,79
080161 ,98
080175 ,302
080175 ,254
080175 ,234
080175 ,222
080175 ,227
080175 ,255
080175 ,142
080177 ,193
080180 ,279
080180 ,227
080180 ,305
080180 ,164
080180 ,296
080192 ,267
080192 ,253
080192 ,241
080192 ,226
080192 ,245
080192 ,255
080192 ,227
080197 ,271
080197 ,175
080198 ,360
080198 ,309
080198 ,321
080198 ,300
080198 ,290
080211 ,266
080211 ,306
080211 ,293
080215 ,105
080217 ,152
080217 ,305
080219 ,278
080219 ,293
080219 ,313
080219 ,273
080219 ,275
080219 ,326
080219 ,118
080220 ,189
080221 ,112
080222 ,286
080222 ,263
080222 ,209
080224 ,270
080224 ,30
080244 ,260
080244 ,279
080244 ,274
080244 ,49
080248 ,267
080248 ,344
080250SD   ,220
080250SD   ,216
080250SD   ,206
080252SD   ,141
080252SD   ,247
080252SD   ,263
080252SD   ,212
080252SD   ,147
080252SD   ,3
08082CA ,302
08082CA ,352
088000SD ,346
088000SD ,206
088019SD ,217
088019SD ,200
088048SD ,71
088051SD ,92
088054SD ,45
088067SD ,300
088067SD ,293
088067SD ,20
088075SD ,103
088076SD ,60
088077SD ,36
088085SD ,270
088085SD ,145
088085SD ,6
088087SD ,19
088090SD ,340
088090SD ,274
088090SD ,307
088090SD ,290
088090SD ,100
088105SD ,61
088106SD ,90
088108SD ,219
088108SD ,260
088145SD ,63
088154SD ,115
088176SD ,33
088218SD ,295
088218SD ,250
088218SD ,230
088218SD ,80
088276CP   ,242
088276CP   ,182
088276CP   ,219
088371SD ,22
090002HO ,249
090002HO ,353
090002HO ,274
090002HO ,290
090002HO ,239
090003HO ,326
090003HO ,181
090004HO ,302
090004HO ,228
090004HO ,286
090006CP   ,317
090006CP   ,254
090006CP   ,277
090006CP   ,286
090006CP   ,239
090006HO ,277
090006HO ,258
090006HO ,255
090006HO ,308
090006HO ,330
090006HO ,265
090007HO ,266
090007HO ,291
090007HO ,253
090007HO ,201
090007HO ,258
090007HO ,311
090008HO ,233
090008HO ,121
090009HO ,276
090009HO ,186
090009HO ,241
090009HO ,329
090009HO ,260
090009HO ,263
090009HO ,192
090009HO ,82
090010HO ,249
090010HO ,204
090010HO ,251
090010HO ,120
090010HO ,161
090011HO ,329
090012HO ,264
090012HO ,321
090012HO ,250
090012HO ,310
090012HO ,190
090013HO ,274
090013HO ,303
090013HO ,280
090013HO ,0
090014HO ,375
090014HO ,235
090014HO ,311
090015HO ,283
090015HO ,243
090015HO ,248
090015HO ,288
090015HO ,228
090015HO ,262
090015HO ,270
090016CP   ,298
090016CP   ,266
090016CP   ,350
090016CP   ,295
090016HO ,327
090017HO ,319
090017HO ,245
090017HO ,338
090017HO ,328
090017HO ,0
090018HO ,303
090018HO ,169
090018HO ,321
090018HO ,235
090021HO ,219
090021HO ,324
090021HO ,190
090021HO ,389
090021HO ,304
090021HO ,252
090023HO ,78
090024HO ,483
090024HO ,315
090025HO ,98
090026HO ,263
090026HO ,253
090026HO ,325
090027HO ,254
090027HO ,207
090027HO ,213
090028HO ,287
090028HO ,448
090030HO ,339
090030HO ,277
090031HO ,265
090031HO ,243
090031HO ,314
090031HO ,221
090031HO ,248
090032HO ,250
090032HO ,242
090032HO ,185
090032HO ,265
090032HO ,169
090033HO ,269
090033HO ,279
090033HO ,279
090033HO ,323
090033HO ,198
090033HO ,277
090033HO ,128
090034HO ,286
090034HO ,261
090034HO ,249
090034HO ,171
090034HO ,71
090035HO ,347
090035HO ,121
090036HO ,263
090036HO ,293
090036HO ,217
090036HO ,282
090036HO ,219
090036HO ,251
090039HO ,151
090039HO ,274
090040HO ,286
090040HO ,172
090041HO ,231
090041HO ,217
090041HO ,264
090041HO ,237
090041HO ,260
090041HO ,275
090041HO ,185
090042HO ,303
090042HO ,379
090042HO ,396
090042HO ,262
090042HO ,291
090042HO ,235
090043HO ,269
090043HO ,259
090043HO ,280
090043HO ,483
090043HO ,370
090044HO ,262
090044HO ,226
090044HO ,206
090044HO ,279
090044HO ,208
090044HO ,241
090047HO ,262
090048HO ,369
090048HO ,238
090048HO ,278
090048HO ,296
090048HO ,61
090049HO ,281
090049HO ,277
090049HO ,351
090049HO ,317
090049HO ,320
090049HO ,18
090050HO ,442
090050HO ,270
090050HO ,265
090050HO ,136
090051HO ,290
090051HO ,258
090051HO ,182
090052HO ,288
090052HO ,251
090052HO ,224
090053HO ,385
090053HO ,98
090054HO ,242
090054HO ,256
090054HO ,218
090054HO ,191
090055HO ,314
090055HO ,253
090055HO ,255
090055HO ,205
090055HO ,286
090055HO ,173
090056HO ,261
090056HO ,278
090056HO ,129
090056HO ,311
090056HO ,237
090057HO ,327
090057HO ,479
090058HO ,403
090058HO ,273
090058HO ,462
090059HO ,221
090059HO ,346
090060HO ,462
090060HO ,402
090060HO ,416
090061HO ,270
090061HO ,189
090063HO ,262
090063HO ,351
090063HO ,345
090063HO ,255
090063HO ,92
090064HO ,119
090065HO ,303
090065HO ,245
090065HO ,337
090065HO ,264
090065HO ,94
090065HO ,365
090065HO ,122
090069HO ,319
090069HO ,307
090069HO ,450
090069HO ,309
090069HO ,172
090069HO ,56
090070HO ,370
090070HO ,265
090072HO ,295
090072HO ,173
090073HO ,70
090074HO ,53
090078HO ,248
090078HO ,381
090079HO ,315
090079HO ,157
090080HO ,499
090080HO ,266
090082HO ,295
090082HO ,251
090082HO ,313
090082HO ,242
090082HO ,237
090082HO ,246
090082HO ,65
090086HO ,265
090086HO ,235
090086HO ,456
090088HO   ,217
090088HO   ,273
090088HO   ,239
090088HO   ,267
090088HO   ,222
090088HO   ,247
090088HO   ,195
090089HO ,247
090089HO ,262
090090HO ,297
090090HO ,229
090090HO ,224
090090HO ,269
090090HO ,281
090091CA   ,305
090091CA   ,350
090091CA   ,281
090091CA   ,254
090091CA   ,233
090091CA   ,82
090091HO ,185
090091HO ,336
090092HO ,291
090092HO ,211
090092HO ,302
090092HO ,298
090092HO ,232
090094HO ,264
090094HO ,260
090094HO ,234
090094HO ,310
090094HO ,333
090094HO ,359
090097HO ,259
090097HO ,276
090097HO ,278
090097HO ,303
090097HO ,225
090097HO ,33
090099HO ,277
090099HO ,289
090099HO ,246
090099HO ,244
090099HO ,311
090099HO ,288
090101HO ,258
090101HO ,262
090101HO ,245
090101HO ,263
090101HO ,291
090101HO ,196
090101HO ,215
090103HO ,352
090103HO ,247
090103HO ,270
